project,text,actual_types,predicted_types,preprocessed_tokens
8,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,performance|usability,performance,administr abl activ pre paid card via administr section second
8,Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.,performance|usability,performance|scalability,custom abl check statu prepaid card enter pin number second
8,"System shall let customers register on the website as a ""pay as you go"" user in under 5 minutes.",performance|usability,security,let custom regist websit pay go user minut
8,"System shall let customers register on the website as a ""unlimited movie subscriber"" user in under 10 minutes.",performance|usability,security,let custom regist websit unlimit movi subscrib user minut
8,System shall let existing customers log into the website with their email address and password in under 5 seconds.,performance|usability,performance,let exist custom log websit email address password second
8,System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.,performance|security|usability,operational|performance|scalability|security|usability,let custom cancel account process take longer minut databas mark account inact user abl log websit
8,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,performance|security,security,let administr de activ custom account minut custom longer abl access websit
8,System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.,performance|usability,availability|operational,let administr add remov movi websit minut enter movi inform store databas avail websit
8,System shall let the administrator add/remove categories on the website in under 5 minutes.,performance|usability,functional,let administr add remov categori websit minut
8,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,performance,security,let izogn manag access sale usag statist minut
8,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,performance|usability,functional,let administr gener uniqu pre paid pin minut gener excel file gener pin
8,The website shall be attractive to all audiences. The website shall appear to be fun and the colors should be bright and vibrant.,look-and-feel,look-and-feel,websit attract audienc websit appear fun color bright vibrant
8,The website should have an African feel but should not alienate non-Africans. The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up.,look-and-feel,look-and-feel|security|usability,websit african feel alien non african websit use anim page describ servic grab user attent encourag sign
8,The website design should be modern clean and concise.,look-and-feel,functional,websit design modern clean concis
